GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2501,49354318.19,2763.68,1881.96,4981254.26,359.54,-121.4,-1013.92,-11505.07,513.92,8539.0,-3398.22,116.59,54336990.15,-3281.63,54333708.52
2526,49325836.68,2790.75,1858.08,4948735.68,304.92,-96.84,-1063.07,-11425.88,508.06,8498.44,-3444.79,118.53,54275946.84,-3326.26,54272620.58
2551,49136506.93,2859.93,1842.41,4933693.74,711.97,-93.19,-1021.79,-11541.86,514.19,8524.1,-3363.9,118.64,54071996.43,-3245.25,54068751.18
2576,49280096.85,2662.67,1810.66,4950456.83,209.97,-86.08,-1016.76,-11544.61,513.24,8563.75,-3388.78,119.36,54231666.52,-3269.43,54228397.09
2601,49318103.9,2779.35,1877.89,4931719.37,338.63,-102.16,-1033.87,-11756.89,517.38,8617.63,-3192.76,119.4,54251061.22,-3073.37,54247987.85
2626,49176261.95,2864.23,1842.79,4915556.35,1214.34,-94.66,-1020.77,-11661.15,509.65,8575.88,-3278.75,121.45,54094048.61,-3157.3,54090891.31
2651,49248468.48,2831.47,1852.42,4959022.18,752.81,-114.63,-1012.94,-11719.1,507.36,8545.06,-3235.99,118.64,54209133.1,-3117.35,54206015.75
2676,49223850.36,2953.21,1857.02,4963791.41,831.79,-114.35,-1039.87,-11753.05,525.71,8609.08,-3212.41,117.5,54189511.33,-3094.91,54186416.42
2701,49341445.5,2707.22,1824.84,4920440.63,154.63,-104.73,-1030.53,-11759.26,521.52,8587.23,-3202.01,118.98,54262787.05,-3083.02,54259704.03
2726,49530755.91,2648.28,1843.35,4963620.04,130.53,-103.63,-1037.61,-11622.45,497.54,8622.23,-3341.89,120.22,54495354.19,-3221.68,54492132.51
2751,49502218.76,2545.75,1821.93,4939338.01,108.46,-113.19,-1032.21,-11527.12,512.98,8570.34,-3385.09,120.77,54442443.7,-3264.32,54439179.39
2776,49318199.06,2625.38,1844.86,4900498.09,134.27,-109.36,-1020.98,-11640.28,504.49,8575.72,-3294.49,118.46,54219611.24,-3176.03,54216435.21
2801,49400178.86,2560.25,1870.3,4900328.66,116.8,-104.49,-1016.23,-11746.67,530.92,8558.72,-3209.68,117.83,54301277.12,-3091.85,54298185.26
2826,49547415.88,2513.26,1829.29,4962632.71,130.65,-86.69,-1014.56,-11774.4,504.8,8614.15,-3231.65,120.33,54510765.1,-3111.32,54507653.78
2851,49735676.26,2347.29,1855.37,4965067.6,118.81,-89.02,-1035.96,-11766.76,516.35,8583.31,-3188.7,118.29,54701273.24,-3070.41,54698202.83
2876,49536366.1,2663.54,1875.34,5026315.91,194.86,-102.54,-1070.54,-11867.54,527.7,8629.43,-3078.89,115.55,54563532.25,-2963.34,54560568.91
2901,49359980.47,2587.74,1847.52,4949931.53,130.06,-95.38,-1023.33,-11942.32,492.12,8644.4,-3076.69,118.51,54310552.81,-2958.18,54307594.63
