GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2826,-0.0,-0.0,-0.0,0.0,0.0,0.0,-41.83,-37.71,0.0,0.0,63.2,-4.04,0.0,-79.55,59.17,-20.38
2851,-0.0,-0.0,0.0,0.0,0.0,0.0,-40.41,-28.8,0.0,-0.0,58.24,-3.95,0.0,-69.21,54.29,-14.92
2876,0.0,-0.0,-0.0,0.0,0.0,0.0,-34.94,-31.18,-0.0,0.0,47.18,-3.88,0.0,-66.12,43.3,-22.82
2901,0.0,-0.0,-0.0,0.0,0.0,0.0,-35.05,-24.9,-0.0,-0.0,54.48,-4.12,0.0,-59.95,50.36,-9.59
2926,-0.0,0.0,-0.0,0.0,0.0,0.0,-31.25,-31.75,-0.0,0.0,50.45,-3.71,0.0,-62.99,46.75,-16.25
2951,-0.0,0.0,-0.0,0.0,0.0,0.0,-40.1,-39.62,-0.0,0.0,61.78,-3.92,0.0,-79.72,57.86,-21.86
2976,-0.0,0.0,0.0,0.0,0.0,0.0,-41.43,-22.68,-0.0,-0.0,46.31,-3.83,0.0,-64.11,42.48,-21.63
3001,-0.0,-0.0,0.0,0.0,0.0,0.0,-38.13,-31.11,-0.0,-0.0,51.27,-3.85,0.0,-69.24,47.43,-21.81
3026,0.0,-0.0,0.0,0.0,0.0,0.0,-40.83,-24.5,-0.0,-0.0,47.96,-3.89,0.0,-65.33,44.07,-21.26
3051,-0.0,0.0,-0.0,0.0,0.0,0.0,-40.37,-29.66,-0.0,-0.0,49.26,-3.93,0.0,-70.04,45.33,-24.7
3076,-0.0,0.0,-0.0,0.0,0.0,0.0,-36.94,-30.32,-0.0,0.0,50.4,-3.83,0.0,-67.26,46.56,-20.7
3101,-0.0,-0.0,0.0,0.0,0.0,0.0,-35.78,-32.2,-0.0,-0.0,54.12,-3.82,0.0,-67.98,50.3,-17.69
3126,-0.0,-0.0,0.0,0.0,0.0,0.0,-32.47,-42.1,0.0,0.0,55.8,-3.86,0.0,-74.57,51.94,-22.63
3151,-0.0,0.0,0.0,0.0,0.0,0.0,-37.47,-10.19,-0.0,0.0,45.56,-3.92,0.0,-47.65,41.64,-6.01
3176,-0.0,-0.0,-0.0,0.0,0.0,0.0,-39.48,-18.55,0.0,-0.0,41.67,-4.09,0.0,-58.03,37.58,-20.45
3201,-0.0,0.0,0.0,0.0,0.0,0.0,-37.43,-15.29,0.0,-0.0,43.12,-3.91,0.0,-52.72,39.21,-13.51
3226,0.0,-0.0,0.0,0.0,0.0,0.0,-38.17,-14.88,-0.0,-0.0,40.2,-4.03,0.0,-53.05,36.17,-16.88
3251,-0.0,0.0,0.0,0.0,0.0,0.0,-43.12,-25.83,0.0,0.0,52.58,-3.93,0.0,-68.95,48.65,-20.3
3276,-0.0,0.0,0.0,0.0,0.0,0.0,-40.56,-27.7,-0.0,0.0,47.76,-3.99,0.0,-68.26,43.76,-24.5
3301,-0.0,-0.0,-0.0,0.0,0.0,0.0,-40.55,-30.46,-0.0,0.0,54.48,-3.86,0.0,-71.01,50.62,-20.39
3326,0.0,0.0,-0.0,0.0,0.0,0.0,-37.09,-36.06,-0.0,0.0,56.93,-4.0,0.0,-73.15,52.93,-20.22
3351,0.0,-0.0,-0.0,0.0,0.0,0.0,-41.07,-29.12,-0.0,-0.0,55.15,-3.93,0.0,-70.19,51.22,-18.97
3376,-0.0,-0.0,0.0,0.0,0.0,0.0,-39.27,-34.36,-0.0,0.0,54.87,-3.93,0.0,-73.64,50.94,-22.7
3401,0.0,0.0,0.0,0.0,0.0,0.0,-46.24,-30.88,0.0,-0.0,58.94,-3.69,0.0,-77.12,55.25,-21.86
