GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2501,48641501.87,3381.56,1812.69,6846468.28,133.15,-86.51,-441.27,-11431.08,511.73,8543.25,-3453.45,122.05,55490393.67,-3331.4,55487062.27
2526,48693112.79,3149.49,1811.93,6816777.82,201.98,-82.46,-459.45,-11428.51,513.08,8537.85,-3448.93,122.54,55512134.52,-3326.4,55508808.12
2551,48614560.03,3522.57,1797.64,6780577.15,129.6,-96.68,-448.3,-11483.34,508.67,8503.73,-3395.94,121.7,55397571.08,-3274.24,55394296.84
2576,48797865.42,3161.98,1821.02,6856459.11,223.76,-82.24,-480.97,-11415.28,499.21,8601.83,-3502.6,122.88,55656653.82,-3379.72,55653274.1
2601,48882840.54,2824.24,1808.56,6855617.51,117.47,-88.22,-433.13,-11608.52,514.3,8644.13,-3382.18,122.51,55740236.89,-3259.67,55736977.22
2626,48747529.72,3098.48,1817.14,6811732.02,129.41,-78.27,-467.52,-11599.6,484.78,8585.16,-3327.56,120.24,55561231.32,-3207.32,55558024.0
2651,48603891.69,2973.8,1819.61,6798097.99,115.35,-86.62,-443.76,-11526.65,495.19,8510.83,-3381.37,122.75,55403847.42,-3258.62,55400588.8
2676,48563086.11,3218.95,1800.72,6803779.25,262.57,-90.06,-480.66,-11612.43,511.94,8703.46,-3387.59,120.16,55369179.87,-3267.43,55365912.44
2701,48847761.06,2734.44,1805.5,6898627.1,124.16,-86.78,-481.76,-11583.65,486.86,8573.26,-3366.4,119.76,55747960.19,-3246.64,55744713.54
2726,48545814.72,3063.32,1811.56,6820401.85,144.89,-76.91,-485.88,-11708.77,485.04,8638.83,-3267.1,122.35,55368088.64,-3144.76,55364943.88
2751,48488716.13,3395.19,1831.29,6761709.15,117.94,-90.45,-464.08,-11734.59,505.6,8650.67,-3242.06,120.54,55252636.83,-3121.51,55249515.32
2776,48640275.91,3242.48,1785.67,6744352.11,124.16,-90.34,-520.84,-11383.56,481.91,8610.91,-3545.05,121.54,55386878.42,-3423.51,55383454.9
2801,48611594.63,3277.04,1787.99,6803162.34,144.23,-96.45,-478.9,-11506.61,509.05,8672.89,-3500.22,118.27,55417066.21,-3381.95,55413684.25
2826,48525833.61,3162.12,1812.99,6768345.91,213.77,-83.44,-471.37,-11399.22,490.91,8591.45,-3547.45,121.36,55296496.74,-3426.09,55293070.65
2851,48662433.12,3199.53,1799.08,6854537.29,139.42,-90.38,-482.1,-11397.78,476.98,8632.47,-3570.6,124.49,55519247.64,-3446.11,55515801.52
2876,48458763.39,3335.41,1800.4,6797686.76,124.9,-84.88,-509.55,-11481.2,494.26,8596.27,-3449.19,121.02,55258725.74,-3328.17,55255397.58
2901,48592856.5,3341.36,1819.72,6814007.87,132.46,-79.24,-459.73,-11515.5,517.16,8685.98,-3496.21,120.74,55409306.59,-3375.47,55405931.12
2926,48466605.67,3122.19,1775.57,6808379.9,131.86,-83.95,-507.79,-11597.81,486.22,8647.0,-3403.72,120.62,55276958.84,-3283.1,55273675.74
2951,48517464.35,3113.36,1822.94,6799143.74,185.71,-97.94,-497.74,-11585.15,484.95,8616.94,-3382.64,117.2,55318651.16,-3265.43,55315385.73
2976,48662244.0,3246.34,1782.9,6808117.5,186.97,-106.65,-509.33,-11657.74,491.07,8618.59,-3340.52,117.8,55472413.66,-3222.73,55469190.93
