GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2501,41740151.19,3275.02,1845.75,6092316.51,101.15,-81.12,-1036.59,-11725.38,486.13,8403.88,-3133.66,116.3,47833736.54,-3017.36,47830719.18
2526,41865181.5,3060.62,1782.93,6138926.37,101.41,-100.95,-997.14,-11819.08,521.3,8527.87,-3158.22,119.94,48005184.83,-3038.28,48002146.55
2551,41856724.53,3255.74,1800.66,6125180.66,110.24,-82.62,-1013.7,-11889.87,507.99,8514.23,-3070.79,116.85,47983107.87,-2953.93,47980153.93
2576,41770833.94,3184.75,1822.74,6124892.4,100.85,-82.72,-995.74,-11819.06,504.24,8466.09,-3134.73,118.56,47896907.5,-3016.17,47893891.33
2601,41697285.47,3341.33,1805.39,6098185.96,102.14,-84.39,-1048.29,-11837.75,499.31,8486.46,-3076.38,114.81,47796735.63,-2961.58,47793774.06
2626,41576591.49,3344.34,1808.69,6007841.57,110.33,-96.89,-999.79,-11873.43,483.29,8452.87,-3049.93,116.18,47585662.47,-2933.75,47582728.72
2651,41523968.11,3406.47,1811.87,6038277.05,117.9,-90.85,-1037.43,-11778.45,487.79,8616.84,-3203.37,117.04,47563779.3,-3086.33,47560692.97
2676,41443435.65,3352.37,1808.29,6032715.65,98.02,-108.59,-1005.67,-11706.17,507.95,8449.33,-3178.35,114.92,47477546.82,-3063.44,47474483.38
2701,41515157.66,3274.51,1827.57,6059919.05,123.14,-100.61,-1026.17,-11767.13,508.59,8466.46,-3164.61,117.76,47576383.07,-3046.84,47573336.23
2726,41620407.94,3397.25,1788.42,6116834.57,128.17,-89.49,-1000.88,-11817.44,488.76,8440.59,-3115.75,117.26,47738577.88,-2998.49,47735579.39
2751,41691765.04,3418.06,1765.27,6093800.77,122.69,-95.44,-1033.08,-11914.95,491.06,8565.78,-3094.61,117.16,47786885.2,-2977.45,47783907.75
2776,41762682.98,3143.68,1833.36,6092136.36,194.4,-102.95,-1028.22,-11837.72,490.3,8542.06,-3124.55,116.81,47856054.25,-3007.75,47853046.51
2801,41717882.94,3096.39,1814.22,6085173.64,102.05,-110.19,-1019.67,-11885.43,512.78,8545.76,-3098.73,117.39,47804112.5,-2981.35,47801131.15
2826,41800934.1,2918.19,1782.91,6069229.88,96.15,-96.77,-1036.57,-11800.93,488.46,8494.56,-3119.84,114.92,47871009.99,-3004.92,47868005.07
2851,42050752.13,3008.02,1840.89,6200716.98,105.86,-111.11,-1013.06,-11888.69,493.14,8473.41,-3056.36,116.7,48252377.58,-2939.66,48249437.92
2876,41816694.55,3242.52,1839.57,6118429.68,105.96,-84.56,-1009.19,-11884.93,504.25,8532.01,-3111.97,117.43,47936369.85,-2994.54,47933375.31
2901,41581024.27,3460.89,1775.48,6020693.55,117.77,-86.98,-1011.83,-11824.59,511.69,8524.3,-3161.0,117.98,47603184.55,-3043.02,47600141.53
2926,41632303.04,3217.42,1799.45,6019716.94,106.71,-86.7,-1008.41,-11888.82,524.12,8502.87,-3059.57,116.27,47653186.62,-2943.31,47650243.31
2951,41776519.26,3215.14,1780.52,6101966.15,103.88,-84.5,-1011.98,-11847.3,485.84,8563.07,-3159.01,115.9,47879690.09,-3043.11,47876646.98
2976,41773210.09,3145.52,1798.65,6060098.38,106.95,-80.66,-1013.25,-11699.83,514.93,8504.59,-3242.47,117.77,47834585.36,-3124.7,47831460.66
3001,41826085.35,3129.91,1787.06,6067334.57,98.18,-83.7,-1044.05,-11698.15,532.13,8502.75,-3209.17,115.25,47894644.06,-3093.92,47891550.14
3026,41654208.4,3453.41,1776.43,6067854.08,103.09,-82.66,-1037.9,-11767.77,515.86,8434.42,-3127.31,115.62,47723457.35,-3011.69,47720445.66
3051,41794057.42,3118.55,1788.74,6089572.98,102.39,-62.36,-1049.01,-11907.69,518.32,8537.62,-3024.14,113.04,47884676.97,-2911.1,47881765.87
3076,41614823.83,3289.07,1822.88,6142363.0,149.11,-81.72,-1009.76,-12020.6,514.43,8457.44,-2928.94,113.69,47758307.69,-2815.25,47755492.44
3101,41447585.61,3359.68,1834.66,6051423.98,195.02,-76.62,-1038.49,-11854.74,490.6,8495.7,-3095.36,113.55,47500415.4,-2981.81,47497433.6
3126,41639568.06,3337.41,1779.28,6049944.78,107.43,-73.51,-1059.98,-11770.14,492.57,8475.24,-3109.42,113.62,47690801.14,-2995.8,47687805.34
3151,41550861.42,3297.47,1793.24,6054316.88,108.46,-51.96,-1051.55,-11823.92,499.34,8549.24,-3129.99,116.57,47606498.6,-3013.42,47603485.18
3176,41671663.93,3311.24,1836.98,6095466.03,266.51,-84.47,-1031.46,-11591.9,495.85,8373.97,-3242.19,114.28,47768706.68,-3127.91,47765578.77
3201,41815361.13,3013.14,1789.13,6094713.2,83.37,-71.09,-1022.57,-11736.53,524.81,8452.74,-3168.98,116.8,47911107.34,-3052.18,47908055.16
3226,41745716.52,3090.84,1811.89,6068832.4,97.53,-93.68,-1018.26,-11765.43,517.79,8506.15,-3148.12,116.27,47815695.75,-3031.85,47812663.9
3251,41684523.87,3460.42,1825.88,6088354.85,109.75,-98.63,-1034.32,-11803.49,513.43,8458.05,-3102.97,116.03,47774309.8,-2986.94,47771322.86
3276,41501319.87,3162.53,1829.02,6067570.28,110.02,-89.27,-1033.45,-11812.13,499.85,8522.09,-3120.42,115.91,47570078.81,-3004.51,47567074.3
3301,41733183.56,3101.46,1807.43,6114892.29,99.7,-86.35,-997.19,-11798.36,501.64,8456.92,-3139.56,118.96,47849161.09,-3020.6,47846140.49
3326,41606416.56,3168.5,1778.66,6074563.4,105.21,-89.0,-1006.56,-11713.48,488.42,8456.15,-3197.91,117.93,47682167.86,-3079.98,47679087.88
3351,41575260.53,3046.66,1805.39,6077636.37,110.78,-64.96,-1008.56,-11763.02,491.43,8507.89,-3180.75,122.34,47654022.51,-3058.41,47650964.1
3376,41525397.16,3182.07,1796.16,6034408.74,106.61,-77.16,-1002.73,-11809.58,485.69,8498.41,-3152.09,119.35,47560985.37,-3032.75,47557952.62
3401,41585237.84,3111.07,1826.88,6076041.69,94.94,-87.67,-1000.89,-11989.61,515.59,8465.02,-2956.59,117.54,47662214.87,-2839.06,47659375.81
3426,41641788.06,3013.72,1829.13,6076567.54,122.06,-81.28,-1019.21,-11908.78,505.84,8461.05,-3002.89,117.87,47719278.14,-2885.03,47716393.11
3451,41950292.69,2811.96,1822.09,6113245.84,97.55,-78.91,-1015.22,-11676.07,504.14,8475.22,-3234.82,118.19,48064479.3,-3116.63,48061362.67
3476,41694658.82,3134.1,1784.54,6063280.83,103.1,-87.26,-1003.97,-11760.16,489.2,8405.8,-3104.99,118.72,47759005.0,-2986.27,47756018.74
3501,41580709.36,3436.99,1827.99,6046056.17,98.1,-91.32,-1006.88,-11674.07,494.2,8402.76,-3182.38,116.9,47628253.3,-3065.48,47625187.82
3526,41741787.55,2948.09,1823.44,6088103.46,92.29,-87.69,-1026.61,-11751.13,488.73,8453.32,-3150.07,118.66,47830831.45,-3031.41,47827800.04
3551,41554567.26,3045.15,1819.46,6026065.74,106.02,-94.59,-1015.93,-11718.5,500.98,8450.06,-3197.61,118.91,47581725.65,-3078.7,47578646.95
3576,41573211.04,3090.48,1825.85,6038266.24,132.23,-90.53,-1012.69,-11645.39,503.1,8424.76,-3228.85,119.88,47612705.11,-3108.98,47609596.13
3601,41491886.58,3279.86,1826.13,6022615.01,104.72,-95.41,-1033.7,-11830.05,497.01,8513.72,-3127.35,113.5,47515763.86,-3013.85,47512750.01
3626,41528987.34,3388.15,1838.6,6022259.11,124.33,-83.78,-1041.82,-11724.68,471.44,8386.81,-3138.12,118.13,47552605.51,-3019.99,47549585.52
3651,41577992.64,3146.86,1793.74,6048113.3,156.78,-97.14,-1041.82,-11732.28,502.14,8447.45,-3150.08,115.82,47627281.66,-3034.26,47624247.4
3676,41511316.58,3541.33,1793.76,6092338.76,96.82,-85.91,-1053.12,-11766.34,508.96,8411.18,-3128.12,113.86,47605102.02,-3014.26,47602087.76
3701,41482929.12,3659.15,1817.39,6041013.89,99.81,-88.84,-1041.36,-11843.87,501.9,8430.43,-3068.35,114.59,47525477.63,-2953.75,47522523.87
