SMILES,aff_site,aff_p0,d_key,d_p0,bridge
CCCNC1CCCC([S+](C)[O-])C1,-4.158,-5.526,12.215524016594623,2.7821053179202253,0.00761629957170292
COc1cccc(CC2CCN(C(=O)c3c(C)nn(C(C)C)c3Cl)CC2)c1,-5.966,-7.033,8.451114778536615,8.981398387779043,0.005114214145051664
CCN(CC)CCCOC(C)(C)CC(O)CNC,-4.112,-5.078,12.599573722947932,2.7518973454691222,0.0060027235161825955
Cc1nc2n(c(=O)c1C(=O)N1CC(C)C(C(=O)O)C1)CCCC2,-5.451,-6.788,8.895137154648038,12.391347505416835,0.00046145291120885197
CC(Cl)C1CC2CC21,-3.702,-4.419,11.808333921430238,9.156028451244568,0.0005646740348867982
CCOc1cc(C=NNCc2ccc3c(c2)OCCO3)cc(Cl)c1OCc1ccc2ccccc2c1,,,,,0.0
CCOc1ccc(N2CCCN(Cc3nc4cc(NC(C)=O)ccc4o3)CC2)cc1,,,,,0.0
O=C(CNC(=O)c1cc[n+]([O-])cc1)Nc1ccc(C2CCCN2)cc1,-5.655,-7.726,7.366295541179434,10.411758256893982,0.004085543193468663
Cc1ccc(O)c(C(Cc2cc(Br)ccc2F)NN)c1,-5.934,-7.128,7.734580919481028,2.9058592533018524,0.1231675839503389
CCNC(=NCc1ccccc1Cn1cccn1)NCCCOCCOC,-4.944,-5.142,4.69292882963294,3.509802558549411,0.5840168534753085
Cc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2C(F)(F)F)cc1C(=O)O,-6.225,-7.886,4.3266576014286136,2.8047083627357767,0.703238889625908
COc1cc(CN2CCC(CN(C)C)CC2)cc(Cl)c1OC,-4.527,-6.279,7.3086358508274305,8.24361352805916,0.01633420306012764
Cc1cc(C2=CCOCC2)cc(N)c1C(=O)NCc1cn(C)c2ccc(-c3ccc(NS(C)(=O)=O)cc3)cc12,-7.031,-8.52,4.926414619172853,4.574308363020577,0.419910945051629
CC(C)C(CCO)c1ccccc1,-4.569,-5.416,12.632525361146124,2.71105975588883,0.005895216086266319
C=CC(=O)OC(CC)OCCCCC12CC3CC(C1)CC(c1ccccc1)(C3)C2,-5.458,-7.034,4.3244997398543115,3.171879884232692,0.6826625274111707
COC(=O)CCNCc1ccc(CN(CCOCCO)CCOCOCc2ccccc2)cc1,,,,,0.0
COc1cc(Cl)ccc1-c1cccnc1CCl,-4.005,-5.566,7.1194607239593655,8.690904786039253,0.013874576504212215
CCn1c(=NC(=O)CCC[S+]([O-])C(C)(C)C)sc2cc(F)cc(F)c21,-4.796,-5.95,5.0045664147856,5.155640503371042,0.32594500735413307
N#Cc1c(F)c(F)c(NCC2CCCCC2)c(F)c1F,-5.097,-6.714,7.42919450546289,9.939573280579001,0.005280568443737665
c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5c4ccc4c6ccccc6n(-c6ccccc6)c45)cc4c3oc3c5ccccc5sc43)n2)cc1,,,,,0.0
CCOCOc1cc(OC)cc(O)c1C=O,-4.344,-5.408,12.17492788479669,2.944847364465601,0.007721451660713752
CCCNC(C1CCCCC1)C1CC(C)CC(C)C1,-4.894,-5.765,12.66369807757592,2.9760633393797256,0.005674892034895654
COc1cccc2c1C(C)CC2c1nc2c(O)cccc2o1,-5.615,-7.125,3.592190696497055,3.760424178201177,0.7360521209778735
CS(=O)(=O)N1CCC(OC(=O)c2ccc(F)cc2)CC1,-5.471,-6.301,12.638616894264974,3.046671954772946,0.005730398283380488
N#Cc1ccc(S(=O)(=O)NC(Cc2cccc(C(F)(F)F)c2)C(=O)O)cc1,-5.14,-7.111,7.046452227894545,2.8547612859922284,0.1878671850211117
CCN1CCC(CNS(=O)(=O)c2cnc(N)c(Cl)c2)CC1,-5.286,-6.338,12.600626770125364,3.0536525670088928,0.005864490209244621
O=CNc1cc(F)ccc1-c1ccnc(NC(=O)c2ccc(F)cc2)c1,-5.617,-8.012,4.3376825609995935,3.194320428510579,0.6786104745225116
CC1CCN(c2cccc(C(C)O)c2)CC1,-5.111,-6.555,12.134416426017363,3.0045423944421223,0.00788130279672537
CC(C)COCCC(N)c1ccc(CC(C)C)cc1,-3.893,-5.833,7.622574761850486,3.3999054398615263,0.1256453991899428
Cc1cc([N+](=O)[O-])c(C(=O)N(C(=O)OC(C)(C)C)C2CCCc3cccnc32)cc1C(=O)NC(=CS(=O)(=O)c1cccc(S(=O)(=O)C(C)C)c1)C(=O)O,,,,,0.0
CN1C(=O)C2Sc3[nH]c(=O)sc3C(c3cc(Cl)ccc3OCc3cccc(Cl)c3)C2C1=O,-5.459,-7.659,4.525528808879687,6.105059377270625,0.24150497238777954
CCCCPC(Cc1cccc(CC(O)POC)c1)C(C)c1cc2c(cc1OC)OCO2,,,,,0.0
CCOC(=O)C1CCN(CCC(c2ccccc2)S(=O)(=O)c2cccc3ccccc23)CC1,-5.548,-7.702,5.2831319309667055,2.8925927815715786,0.4907306138786416
CC(CC1COCCN(Cc2cnn(-c3ccccc3)c2)C1)C(N)=O,-3.856,-5.059,8.516522882021746,8.488899810929565,0.006670350485374729
CCCCCCc1ccc(CON=C(C)CCC(C)CCCC(C)CCCC(C)C)cc1,,,,,0.0
CCOC1CN(C(=O)C(N)C(C)CC)C2CCCC12,-4.556,-5.962,7.182602661988201,3.05103277596292,0.17041635503397562
COc1nc(Cl)c(-n2ccc(C)c(C3CNC(C)(C)C4CN34)c2=O)c(OC)n1,-5.553,-7.032,4.542863084003303,3.4421122875350827,0.6198495156158641
Cc1cc2c(cc1NC(=O)N1CC(C)OC(C)C1)C(=O)N(C1CCCN(Cc3ccccc3)C1)C2=O,-6.804,-9.087,4.543298581427375,3.6895455004647935,0.5973993875636554
CCn1ncc(NCc2cc(Br)ccc2O)c(Br)c1=O,-4.915,-6.511,4.418414760974801,3.141913748020464,0.6664395156050095
CCOC(=O)c1c(C)c2ccc(OC)cc2oc1=O,-4.683,-5.899,7.70380334639975,2.955957205373582,0.12503356721856382
COc1cc(C(=O)N(Cc2ccc(OCc3[nH]cnc3CSC3=C(C(=O)O)N4C(=O)C(OC)C4C3C)cc2)c2ccccc2)cc(OC)c1OC,,,,,0.0
COCc1cccc(-c2nc(C(=O)O)n[nH]2)c1,-5.439,-6.724,12.322414941885377,2.749500681942087,0.007139055265665467
O=C(O)C1CCCCN(C(=O)CNc2ccc(C(F)(F)F)cc2)C1,-4.655,-5.407,6.66743743877661,2.9886896794414777,0.23286833325475884
