SMILES,aff,d_asp,d_arg,d_p0
O=C(CNC(=O)c1cc[n+]([O-])cc1)Nc1ccc(C2CCCN2)cc1,-5.655,12.042374931881168,7.366295541179434,10.411758256893982
Cc1ccc(O)c(C(Cc2cc(Br)ccc2F)NN)c1,-5.934,7.734580919481028,8.203880179524807,2.9058592533018524
CCNC(=NCc1ccccc1Cn1cccn1)NCCCOCCOC,-4.944,4.69292882963294,8.295154730322997,3.509802558549411
Cc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2C(F)(F)F)cc1C(=O)O,-6.225,4.3266576014286136,8.140922859234081,2.8047083627357767
COc1cc(CN2CCC(CN(C)C)CC2)cc(Cl)c1OC,-4.527,13.454921961869568,7.3086358508274305,8.24361352805916
Cc1cc(C2=CCOCC2)cc(N)c1C(=O)NCc1cn(C)c2ccc(-c3ccc(NS(C)(=O)=O)cc3)cc12,-7.031,4.926414619172853,8.057666721824624,4.574308363020577
CC(C)C(CCO)c1ccccc1,-4.569,15.248409064554899,12.632525361146124,2.71105975588883
C=CC(=O)OC(CC)OCCCCC12CC3CC(C1)CC(c1ccccc1)(C3)C2,-5.458,4.3244997398543115,7.69344643186654,3.171879884232692
COC(=O)CCNCc1ccc(CN(CCOCCO)CCOCOCc2ccccc2)cc1,,,,
COc1cc(Cl)ccc1-c1cccnc1CCl,-4.005,12.935663067659114,7.1194607239593655,8.690904786039253
CCn1c(=NC(=O)CCC[S+]([O-])C(C)(C)C)sc2cc(F)cc(F)c21,-4.796,5.0045664147856,7.671922705554325,5.155640503371042
N#Cc1c(F)c(F)c(NCC2CCCCC2)c(F)c1F,-5.097,12.281726059475517,7.42919450546289,9.939573280579001
c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5c4ccc4c6ccccc6n(-c6ccccc6)c45)cc4c3oc3c5ccccc5sc43)n2)cc1,-9.641,5.163059267527344,8.464570042240773,3.317260466107538
CCOCOc1cc(OC)cc(O)c1C=O,-4.344,13.081661285937654,12.17492788479669,2.944847364465601
CCCNC(C1CCCCC1)C1CC(C)CC(C)C1,-4.894,12.66369807757592,12.940672393658685,2.9760633393797256
COc1cccc2c1C(C)CC2c1nc2c(O)cccc2o1,-5.615,3.592190696497055,8.16848119297584,3.760424178201177
CS(=O)(=O)N1CCC(OC(=O)c2ccc(F)cc2)CC1,-5.471,12.638616894264974,12.64361629439932,3.046671954772946
N#Cc1ccc(S(=O)(=O)NC(Cc2cccc(C(F)(F)F)c2)C(=O)O)cc1,-5.14,7.046452227894545,8.128468121362104,2.8547612859922284
CCN1CCC(CNS(=O)(=O)c2cnc(N)c(Cl)c2)CC1,-5.286,12.600626770125364,13.043728186373711,3.0536525670088928
