SMILES,bridge,aff_site,aff_p0,d_key,d_p0,composite,QED,MW,logP,HA,TPSA,LE
COc1cc(C=NNC(=O)c2cccnc2)ccc1C,0.7066842062121996,-5.31,-6.337,4.194659700142552,3.1713143962716788,0.8265978290332707,0.6830576765841861,269.30400000000003,2.1625199999999998,20,63.58,0.26549999999999996
COC(=O)Nc1nc2c(s1)CN(Cc1nc3ccccc3[nH]1)CC2,0.7007521335983944,-6.094,-7.32,4.19522323601498,3.250957705046316,0.8265099572516905,0.7639290705111306,343.4120000000001,2.7560000000000002,24,83.13999999999999,0.2539166666666667
COc1cc(C2C=C(CCC(=O)OC(C)(C)C)CC2)cc(OC)c1OC,0.7108644834482911,-4.731,-6.288,4.202326260537132,3.08920669428253,0.8265093126011083,0.5224201125602451,362.4660000000001,4.638100000000004,26,53.99000000000001,0.18196153846153845
Cc1ccc(OCCNC(=O)C2CCN(C(=O)C3COc4ccccc4O3)CC2)cc1,0.693502879070131,-7.093,-8.519,4.288870480674369,3.110229252000566,0.8264995037259784,0.7215937702413131,424.49700000000024,2.5686199999999992,31,77.10000000000001,0.22880645161290322
Cc1[nH]ncc1S(=O)(=O)Nc1ccc(C(=O)N2C(C)CC3CCCCC32)cc1,0.7001614667140706,-6.146,-7.407,4.159784008815842,3.336689077513816,0.8263857289119634,0.8201061348948988,402.52000000000027,3.312120000000002,28,95.15999999999998,0.2195
CC(=O)c1cccc(NC(=O)c2ccnn2Cc2ccccc2)c1,0.7012632435634529,-5.975,-7.995,4.2481064016806345,3.1078791804058272,0.8262976607826703,0.7332249772973543,319.364,3.386300000000002,24,63.99,0.2489583333333333
Cc1ccc(NC(=O)C(C)NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)nc1,0.698751971501666,-6.297,-7.066,4.278421321001474,3.0584306433202,0.8262034941356973,0.5910768178082758,364.3830000000001,1.6037199999999998,25,131.3,0.25188
CCC(NC(C)C(=O)Nc1ccc(C(=O)NC)cc1)c1ccc(Br)cc1,0.7022285808008281,-5.802,-6.76,4.273202663108783,3.0173203343364143,0.8261183612816355,0.639435449382846,418.33500000000004,3.8766000000000016,26,70.23,0.22315384615384615
Cc1nnc(NC(=O)c2cccc(Nc3cc(C)n(C)n3)c2)o1,0.7011549124620886,-5.898,-7.909,4.281887784610894,3.007715910786789,0.8259013231744509,0.7674706077111308,312.3330000000001,2.41584,23,97.87,0.2564347826086956
CC(Nc1ccc(C(N)=O)nn1)c1ccncc1F,0.7090271992850053,-4.819,-6.674,4.230963247299602,3.035284171210334,0.8258250156492825,0.8642674052941494,261.26,1.2827,19,93.78999999999999,0.25363157894736843
O=C1CSC(=O)N1c1ccc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1,0.7021634035984069,-5.727,-7.679,4.202814057271627,3.2138844098691544,0.8257556224750139,0.8217155194512388,416.4020000000001,3.706000000000002,27,83.55000000000001,0.2121111111111111
O=C(c1ccc(OCc2ccccc2)cc1OCc1ccccc1)N1CCCC1CO,0.695463591949796,-6.615,-7.385,4.333992385780114,2.930748197986309,0.8256210612640356,0.588657589320196,417.5050000000002,4.441500000000005,31,59.0,0.21338709677419357
CC(C)C(NC(=O)C1CCN(C(=O)c2ccco2)C1)c1ccc(Cl)cc1Cl,0.7012604522230174,-5.775,-7.854,4.240801339369718,3.1282897883668004,0.8254320059729798,0.787600388098802,409.3130000000001,4.562000000000005,27,62.550000000000004,0.2138888888888889
Cc1ccc2c(c1)CCN(C(=O)Nc1ccc3oc(N)nc3c1)C2,0.6975910624878903,-6.228,-8.12,4.164520980857222,3.357636222106261,0.8252201783002543,0.7196460945244758,322.3680000000001,3.3086200000000012,24,84.39,0.2595
Cc1ccc(Cl)cc1C(=O)NC(=S)Nc1nnc(C(F)(F)F)s1,0.7046119623636761,-5.267,-6.773,4.249455259206761,3.0513380671436585,0.8251982236532693,0.7784340560769635,380.80400000000003,3.6455200000000003,23,66.91,0.229
