SMILES,aff,d_asp,d_arg,d_p0
COc1ccc(C(C)=CC(=O)Nc2cc(-c3cc(C)no3)ccc2OC)cc1,-5.948,4.615639717308966,8.436488191184765,3.045719619400316
COc1ccc(C(C)NC(CCSC)C(=O)OCC(C)C)cc1,-4.677,4.712165744113846,7.652270578070276,3.5516107613306955
CCOC(=O)c1ccc(N(C)CCc2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OCC)cc1,-5.474,4.418712595315518,7.920222471622877,3.176493192185372
O=Cc1cccc2c(O)cc(OC3OC(CO)C(O)C(O)(O)C3O)c(O)c12,-6.317,4.971697798539247,7.749536502269021,2.902639660722632
CC1CCc2c(sc(NC(=O)CSc3nnc(Cc4ccc(Cl)cc4)n3C)c2C(N)=O)C1,-6.875,4.120939334666309,7.85699312714476,3.5536634618376572
C=CC1=CC=C(CCc2cccc(C3=CC=CCC3)n2)C1,-5.412,10.508237816113603,8.770693587168576,12.341320715385367
CCCC1CN(C(CN)c2ccccc2OC)CCO1,-4.611,12.55283852361688,12.83463926255818,3.330458827248882
CC1CC(C(C)C)N(C(=O)c2ccccc2-n2cnc(C(F)(F)F)c2)C1,-5.171,4.881833569469569,7.673264754978808,5.446499793445327
CC(c1ccccc1)N1CCN(C(=O)c2ccc(Cl)c(N)c2)CC1,-5.267,3.663442097263173,7.753529131950172,3.8272635132689783
CC(=O)NCC1CN(c2ccc(OCCCN(C)c3cc(Cl)ccc3C)cc2)C(=O)O1,-4.236,6.7917709030855855,7.293471738479555,2.997011010990783
Cc1ccc(CN2CCC3(c4ccccc4)C(=O)N(C)CN3C2=O)cc1,-5.315,4.520922361642588,8.041630182991506,8.87090361800871
COc1ccc(Cl)cc1CC(=O)NCC(c1ccccc1)N1CCCC1,-5.226,4.476351527751143,7.208939242357365,3.791966640148618
CC(=O)N1CCCC1C(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1,-5.541,4.057750238740674,8.067931643240415,3.136977844996678
OCc1cc(F)cc(I)c1F,-4.443,14.05454186375351,13.276456831549599,2.876076146418937
Cc1ccc(Cl)cc1N(CCCC(=O)NCCSc1ccc(Cl)cc1)S(C)(=O)=O,-4.494,3.676871904214233,7.509383529957702,10.717125127570359
