SMILES,aff_p0,aff_site,d_key,d_p0,bridge,composite
CC1C(CO)CCCC1NCC(=O)NCCCn1cccn1,-6.412,-4.608,8.46771456769771,8.636056391663963,0.0062749713789756,0.07760276951306685
NC(=O)c1cccc(Cl)c1Nc1ccc(N)c(F)c1,-6.563,-5.291,12.507392813852134,3.031623492454167,0.0062282866710141,0.07759298149853601
FC(F)c1ccc(CNCc2cccc(COc3nccs3)c2)cc1,-7.252,-5.608,8.341470493863776,8.780722749295753,0.0062023462015558,0.07756030660326531
CCC(C)OCCNCC(O)c1ccccc1,-5.775,-4.423,12.488140974540608,3.0837970101807928,0.0062746545840382,0.07752466818809353
CCOC(=O)CNC(=O)C(C)n1ccnc1C,-5.699,-4.672,12.51587507927432,2.908227295106076,0.0062571910076249,0.0775190334186251
O=C(O)C1(Cc2ccc(Cl)cc2)CCC1,-6.332,-4.453,12.505247898382502,2.9651187160044703,0.0062711501806371,0.07751536539127873
Cc1cc(S(=O)(=O)NCCC(=O)NC(C)(C)C)ccc1N,-6.567,-5.112,12.499822798743988,3.087727481498327,0.0062267805031747,0.0775104732831894
C#CCCCC(=O)CC1CCCCC1,-5.738,-4.301,12.491413731039414,3.0506042024490814,0.006280431974195,0.07751007350870537
CCCCc1noc(C(C)Nc2nnccc2C)n1,-6.737,-5.775,12.532892164221312,2.929366825783347,0.0061810508801531,0.07749484074641504
Cc1nnc(N2CCC(Cn3ccc4c(N)cc(Cl)nc43)CC2)o1,-7.385,-5.858,12.524575761278305,3.0066867146412184,0.0061748104474766,0.07748936793763894
O=C(Nc1ccn[nH]1)C1Cc2ccccc2O1,-6.824,-6.078,12.53830682349096,2.9357367048153344,0.0061571403773501,0.07746742761310328
Cc1snnc1COc1[nH]ncc1CO,-5.934,-5.458,12.535995213783387,2.8689405710122333,0.0061968888734203,0.07746515246161667
Nc1ncccc1C#Cc1nc(N)c2ccccc2n1,-6.883,-5.549,12.5080021586183,3.101688894779746,0.0061870782744355,0.07744080679448853
Cc1c(C(F)(F)F)ncc(C=O)c1C#N,-5.56,-5.303,12.51400823077882,3.03884780796933,0.006198722182947,0.07741349165761008
CC(C)CCC(=O)NCC(=O)N(C)CC(F)(F)F,-5.699,-4.017,12.519524511737655,2.823298956894221,0.0062811004164189,0.07739702742210149
COCCNCc1ccc(N2CCCC2)o1,-6.03,-4.591,12.485008810569578,3.163553697979537,0.0062395386185929,0.07737638615353674
Cc1ccnc(NC(=O)c2cc(Nc3ccc4c(c3)OCO4)ncn2)c1,-8.5,-6.158,8.28663224717979,8.852323875683718,0.0061371718597531,0.07737399672315305
COC(=O)c1ccc(N2C(=O)CC(N)C2=O)cc1,-6.166,-4.787,12.498046807401549,3.103563919109771,0.0062246100642225,0.07736403994536037
Cc1ccc(CN(C(C)C)C2CCOC(C)C2)o1,-6.632,-5.291,12.498585960019636,3.156287376016323,0.0061912518639887,0.07736194479237431
CCOC(=O)CN(C)c1nc(C(N)=O)nc(-c2ccco2)c1C,-6.206,-5.338,12.505197759331915,3.1189935876817705,0.0061879058098832,0.07736016604844152
O=C1c2ccccc2CN1c1c(Cl)cccc1Br,-6.374,-5.432,12.498167545684447,3.1744544413174363,0.0061817250766331,0.07735974618621817
Cc1ccc(S(=O)(=O)N2CCc3ccccc3C2)c2c(C)nnc(N)c12,-6.946,-6.362,12.546018731055682,2.9514426980715727,0.0061200192405593,0.07734796005784361
CC(=O)c1ccc(Nc2ncnc3[nH]ncc23)cc1,-6.809,-5.38,8.358402299482838,8.768843538346434,0.0061831000806888,0.07734720350821354
CNC1CC(N(CCC(C)C)C2CC2)CCC1(C)C,-5.271,-4.328,12.531441457390288,2.7868989935051465,0.0062497323439621,0.0773315038259578
CC(=O)NC(C)(C)C(=O)c1sccc1Br,-5.314,-4.614,12.502997440613992,3.0586415285221,0.0062307132272403,0.07733107383829935
CCC1(C(N)Cc2cccnc2)CCCCC1,-6.384,-5.085,12.496972193295464,3.157245318311518,0.0061969159015563,0.07731336415874263
CN1Cc2cc(N)ccc2S1(=O)=O,-5.428,-4.422,12.509217921197154,2.9971956893069223,0.0062392925454867,0.0773054962260389
Cc1nn(C)c(C(=O)Nc2ccc(-n3ccnc3)nc2)c1Br,-6.592,-5.343,12.50695634437092,3.125828850081207,0.0061771063669846,0.07729466311479706
O=C(Nc1c(Cl)cccc1Cl)c1ccnc(Cl)n1,-6.81,-5.52,12.516621469070635,3.084169093937621,0.0061637483335442,0.07728289741347838
Cc1ccc(OCc2cc(Cl)ccc2F)c(CO)c1,-6.97,-5.547,12.538475425664798,2.926445283957997,0.006160902968256,0.07727600981574259
CC1(C)CC1Nc1ccc2c(c1)COC2,-6.167,-4.554,12.49329520182726,3.1359939413206783,0.0062240187718491,0.07726493327318056
CC(C)C(Cc1noo1)=NNC(=O)c1cccnc1,-6.992,-5.125,12.52385663443973,2.99077548471964,0.0061857488990938,0.07725996768290318
CCC(=CC=CN)C(N)=NOCC1CCCN1,-6.117,-5.713,12.551610812959426,2.8474685248479923,0.0061460869954577,0.0772502581402162
CCCCCCCCCCCCc1ccc(OC(=O)OCC)cc1,-5.045,-4.263,12.485183779184029,3.164248567985771,0.0062384271699768,0.07723482289947546
Cc1cnnc(Nc2ncccc2C(=O)Nc2ccc(Br)cc2)c1,-7.911,-5.901,12.535519494620075,3.0130982393543038,0.0061294198042963,0.07722139955787298
O=C=NCc1ccc[nH]1,-5.044,-3.797,12.497956392946808,3.0335617679552853,0.0062640812358733,0.07720133440816145
Cc1c(N2CCN(C)CC2)cccc1C(F)(F)F,-6.014,-4.701,12.507687036378869,3.074952682562774,0.006203435527221,0.0771971896017235
CC(=O)N1CC(Oc2ccccc2C(F)(F)F)C1,-6.619,-5.146,12.530008818831693,2.979756533678548,0.006167566303531,0.0771548749229652
COc1ccc(Br)c(C(=O)c2ccc(OC)c(C(C)(C)C)c2)c1,-7.12,-4.951,8.4680813057032,8.660464075325294,0.0061790926034577,0.0771475166016695
CN(C)C(C(N)=O)c1ccc(C#N)cc1,-5.746,-4.895,12.513948257844126,3.069431869255287,0.0061822733696393,0.0771445414827367
Cc1ncc(CNC(=O)C2CCCN2)cn1,-6.868,-5.164,12.544401500270949,2.869809401336612,0.0061640318883117,0.07714008244343375
CCn1cc(CC(CNC(C)=O)c2ccc(F)cc2)cn1,-6.803,-5.426,12.529032085520416,3.0284760193866487,0.0061462831775264,0.0771352304201033
CC(NC(=O)C1CCC(C(=O)O)C1)c1cccnc1,-6.526,-5.539,8.408823996255363,8.731011911571304,0.0061354210311461,0.0771127963654938
CCCN(CCN(C)C)c1nc(C)nc(NN)c1CC,-5.814,-3.843,12.517942562577923,2.9156457260785302,0.0062456127118484,0.07710640216622432
NC(=O)C1CCc2cc(C(F)(F)F)ccc21,-6.659,-5.63,12.537823136414072,3.004145968490879,0.0061251994713484,0.07708533189129667
Cc1noc(C)c1CCC(=O)N1CC(C)C(c2ccc(Cl)cc2)C1,-7.535,-5.43,8.078622531100212,9.059410190514612,0.0061358019282749,0.07707105322754108
CC(Nc1nc(C(=O)NC2CC2)ccc1C#N)c1ccccc1,-7.166,-5.324,12.502760855107164,3.208529102252308,0.0061426356214228,0.07707098973595342
O=C(NC1CN2CCC1CC2)c1ccc(OCCn2cccn2)cc1,-6.75,-5.189,7.423301893362549,9.700845787868191,0.0061511265246178,0.07706943990262818
CNC1(C#N)CCN(c2ccccc2OC)CC1,-5.658,-5.567,12.526674778248216,3.082781211828048,0.0061259155578579,0.07706436329650737
COC(=O)C(C)c1ccc(OC)cc1,-5.559,-4.791,12.528475924868117,2.978329229618512,0.0061741935890542,0.0770517271285451
O=C(Cc1c(Cl)cccc1Cl)N1CCN2CCCCC2C1,-6.901,-5.476,12.532574117075873,3.035037232061577,0.0061292326843553,0.0770484040692932
CCn1nccc1C1CCCn2nc(C(=O)O)cc21,-6.504,-5.412,12.553893021688532,2.8580883471299487,0.0061327196743582,0.07704440365240353
Cc1ccc(C)c(C(=O)Cc2nc3ccccc3o2)c1,-7.404,-5.363,12.542989476197452,2.9485738925792586,0.0061330012193554,0.07702632526086234
Nc1cc(C(F)(F)F)nn1-c1ccc(F)c(Cl)c1,-7.404,-5.496,12.538998404976372,2.9979476312971176,0.0061238592569313,0.07702271347750933
Cc1ncc(-c2cc(COC3CCCCO3)ccn2)cn1,-7.526,-5.379,12.544424817423874,2.94103400184357,0.0061311186369626,0.07702098255553276
Cc1cc(C)nc(NN=Cc2c(C)n[nH]c2C)n1,-6.429,-5.991,12.54472291443697,3.018261751405932,0.0060916060195021,0.07701905685491735
CCCCOCCOc1cc(C)c(C)cc1CNC,-5.527,-4.458,12.519399266738,3.014461477610885,0.0061907720606799,0.07701904600421733
Cc1cc(Cl)cc(C)c1OCc1ccnc(C(C)N)c1,-7.151,-5.281,12.529349783608088,3.0442077787168214,0.0061367130428592,0.07701639609129289
CCCN(C(=O)c1ccncc1Cl)c1ccc(S(N)(=O)=O)cc1,-5.883,-5.491,12.563916626593796,2.796816761963501,0.006120153501418,0.07699738347676384
CC(N)(C#N)c1cccc(F)c1,-5.816,-4.852,12.534485988663436,2.957833835765627,0.0061611740023619,0.07699528240572882
CN(CC(F)(F)F)C(=O)NCc1cccc(C#N)c1,-6.439,-4.603,12.515363598393776,3.0715652361621752,0.0061756258943201,0.0769839736536614
Cc1ccn(-c2c(Cl)cccc2Cl)n1,-4.986,-4.542,12.481674807492784,3.276136291426228,0.0061790623381265,0.07698048274742084
Cn1c(SCc2ccccc2Cl)nnc1-c1ccco1,-6.89,-5.407,12.51099556390298,3.1928277435527272,0.0061209851710413,0.07696863601667804
