SMILES,aff_p0,aff_site,d_key,d_p0,bridge
CCOc1ccc(CN(C)CC(=O)Nc2cc(C)sc2C(=O)OC)cc1,-6.472,-5.032,3.6189233205471476,8.694967337488968,0.06278822976499793
COCCN(Cc1cc2ccc(C)cc2[nH]c1=O)S(=O)(=O)c1ccccc1C#N,-6.829,-5.305,7.35427991036512,8.637480766982927,0.012443059438294359
O=C1SC(=Cc2cc(Br)ccc2OCCOc2ccc(Cl)cc2)C(=O)N1Cc1ccc(Cl)cc1,-8.265,-6.178,6.713316989387585,7.399411057645061,0.03919906970258659
Cc1[nH]nc2c1C1(C(=O)N2)C2=NC(O)C(Nc3ccc4ccccc4n3)(c3ccccc32)C1(Cl)Cl,,,,,0.0
COc1ccc(C(C)=CC(=O)Nc2cc(-c3cc(C)no3)ccc2OC)cc1,-7.979,-5.948,4.615639717308966,3.045719619400316,0.6317584321248765
COc1ccc(C(C)NC(CCSC)C(=O)OCC(C)C)cc1,-5.915,-4.677,4.712165744113846,3.5516107613306955,0.5766101626795166
CCOC(=O)c1ccc(N(C)CCc2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OCC)cc1,-7.402,-5.474,4.418712595315518,3.176493192185372,0.6641142822742829
O=Cc1cccc2c(O)cc(OC3OC(CO)C(O)C(O)(O)C3O)c(O)c12,-7.386,-6.317,4.971697798539247,2.902639660722632,0.5604244354196093
CC1CCc2c(sc(NC(=O)CSc3nnc(Cc4ccc(Cl)cc4)n3C)c2C(N)=O)C1,-7.939,-6.875,4.120939334666309,3.5536634618376572,0.6868422050811472
C=CC1=CC=C(CCc2cccc(C3=CC=CCC3)n2)C1,-7.664,-5.412,8.770693587168576,12.341320715385367,0.0005144394368152156
CCCC1CN(C(CN)c2ccccc2OC)CCO1,-5.747,-4.611,12.55283852361688,3.330458827248882,0.005873648758770399
CC1CC(C(C)C)N(C(=O)c2ccccc2-n2cnc(C(F)(F)F)c2)C1,-7.04,-5.171,4.881833569469569,5.446499793445327,0.29964080523057735
CC(c1ccccc1)N1CCN(C(=O)c2ccc(Cl)c(N)c2)CC1,-6.92,-5.267,3.663442097263173,3.8272635132689783,0.7190071336897619
CC(=O)NCC1CN(c2ccc(OCCCN(C)c3cc(Cl)ccc3C)cc2)C(=O)O1,-5.765,-4.236,6.7917709030855855,2.997011010990783,0.2162838861674433
Cc1ccc(CN2CCC3(c4ccccc4)C(=O)N(C)CN3C2=O)cc1,-7.877,-5.315,4.520922361642588,8.87090361800871,0.04563483485966414
COc1ccc(Cl)cc1CC(=O)NCC(c1ccccc1)N1CCCC1,-6.834,-5.226,4.476351527751143,3.791966640148618,0.5993027614366727
CC(=O)N1CCCC1C(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1,-7.538,-5.541,4.057750238740674,3.136977844996678,0.7328355339750042
OCc1cc(F)cc(I)c1F,-5.435,-4.443,13.276456831549599,2.876076146418937,0.003899140826657644
Cc1ccc(Cl)cc1N(CCCC(=O)NCCSc1ccc(Cl)cc1)S(C)(=O)=O,-6.651,-4.494,3.676871904214233,10.717125127570359,0.017620396638638704
Cc1ccnc(NS(=O)(=O)c2ccoc2C(=O)O)c1,-6.569,-5.541,12.766559207554714,2.981031029694256,0.0053194091751731076
CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCC=CCC=CCC=CCC,,,,,0.0
CCCCOC(=O)CC1(CC)CCCCOC1=O,-4.741,-3.007,8.179027020373512,2.95471842990157,0.09328794884056081
CN(C)c1ncccc1C(=O)NCCC1CC=CCC1,-6.632,-4.559,4.004076547719835,7.992305862515523,0.09033357037746997
CC(CO)CNc1ccc(N(C)C)c([N+](=O)[O-])c1,-5.947,-4.232,6.462249298812293,2.9944645598169966,0.2622232763492342
CNC(=O)NCCC(=O)Nc1ccc(OC)nc1C,-6.036,-5.486,12.344934750738863,2.920474105346597,0.006956224269798856
CC(C)(C)C(=O)c1ccc(NC=CC(=O)c2ccccc2F)cc1,-6.905,-5.794,3.4414598646504646,3.4735012595362624,0.7863380384472667
CCCCCCC=CCCCCCC(O)CC(=O)NC(COC1OC(CO)C(O)C(O)C1OC(=O)CCCCCCCC=CCCCCCCCCC)C(O)CCCCCCCCCCCC,,,,,0.0
CCNC(=O)N1CCc2c(nc(C3CCCO3)n2C)C1,-6.573,-4.386,6.168718748654374,3.0417608387248327,0.3083960155443485
CCOC(=O)Cc1nc(SCCCN2CCC(c3ncccn3)CC2)n[nH]1,-6.479,-5.272,5.034208676644225,2.995799392482749,0.542336198428891
CCC(N)c1ccc(N2CCCCCC2)cn1,-3.888,-2.89,5.7519000339018405,3.717524041616946,0.35452315914432714
CCC(CC)CN(C(NC(C)=O)c1coc2ccccc12)S(=O)(=O)c1ccc2c(c1)c1ccccc1n2CC,-7.25,-5.079,5.481180985882513,5.371593525202741,0.23893182374241234
C[N+]1(C)C(=O)CC(C(=O)O)C1(C1CCC1)C1CC1,-5.991,-4.698,11.411949745770878,8.945482323497153,0.0008247665170163429
CCOCC(C)(N)C(=O)Cc1cc(C)nn1CC,-6.077,-4.55,6.574762048926179,2.8814041715802388,0.2478656685059655
Cc1cccc(C)c1Oc1cccc2c1NCC2=NCCNc1ccccc1,-7.481,-5.948,4.430657964681995,3.090322151491653,0.6672471180375731
Cc1ccccc1COc1ccc(OC(F)F)cc1,-7.033,-5.195,8.473662962379375,8.559429069745248,0.00655668449463349
COC(=O)c1c(C)n(-c2ccc(C)cc2)c2ccc(-c3cc(Cl)ccn3)cc12,-7.164,-5.929,4.379914839354757,5.119652917923245,0.41178060364834984
CCCCCCCOc1ccc(C=c2sc3n2C(c2ccc4ccccc4c2)C(C(=O)OC)=C(C)N=3)cc1OCC,-7.087,-4.918,5.032174579642484,8.057913936001054,0.06268978958519546
Cc1cc(Br)cc(Br)c1NCC1CCC(C)(C)C1,-6.68,-5.122,12.736858717910001,3.2644322630436062,0.005274992922506301
CCC1CCC2(CC2C(=O)OC(F)(F)C(F)F)O1,-6.078,-4.61,3.4673302409779194,10.00635123309191,0.028340291391686447
