smiles,matched_to,tanimoto,kind,aff_site,aff_p0,d_key,d_p0
Cc1nn(C(C)C(=O)Nc2ccc(F)cc2)c(C)c1C=CC(=O)O,LOA22-B1,0.16901408450704225,decoy,-5.789,-7.371,4.450203366139574,2.8434574025295327
Cc1c(-c2ncn[nH]2)csc1C(=O)NCc1ccc(Cl)s1,LOA22-B1,0.1,decoy,-5.285,-7.114,12.107752309987186,2.802941847416746
N#Cc1cc2c(nc1N)CCN(C(=O)Nc1cccc(Cl)c1)C2,LOA22-B1,0.18181818181818182,decoy,-5.849,-7.446,7.4579368460721085,6.222996866462332
CCc1ccc(C(=O)Nc2ccc(N3CCCC3CO)nc2)cc1C#N,LOA22-B1,0.2,decoy,-6.589,-7.329,4.4192959846563795,3.0636365646074926
O=c1[nH]nc2cc(-c3[nH]ncc3-c3ccc(Cl)cc3)sn12,LOA22-B1,0.08,decoy,-5.796,-7.605,12.022026534657126,3.0378181314884536
CC1(O)CCC(NC(=O)Nc2ccc(C(F)(F)F)nc2)CC1,LOA22-B1,0.22727272727272727,decoy,-5.245,-7.031,7.186147577109726,7.83405642052698
CC(NC(=O)c1ccc2c(c1)NC(=O)C(C)(C)O2)c1ccccc1F,LOA22-B1,0.17567567567567569,decoy,-6.108,-7.74,7.281119831454499,8.008980147309645
NC(N)=NN=Cc1ccc(Cl)cc1Oc1cccc(Cl)n1,LOA22-B1,0.1095890410958904,decoy,-5.355,-7.32,12.417609874690056,2.9549208111216783
COc1ccccc1C1NCCc2c1[nH]c1cccc(C(=O)O)c21,LOA22-B1,0.16216216216216217,decoy,-5.029,-7.432,6.244727295887307,2.8887043808600428
Cc1cc(F)cc(S(=O)(=O)NC(C)c2cccc(N)c2)c1,LOA22-B1,0.14492753623188406,decoy,-5.674,-7.533,4.859935287635011,3.7711109768873157
CC1NNC(CN2CC=C(C3CCCCC3)CC2)C1c1ccccc1,LOA22-B1,0.0625,decoy,-6.072,-7.368,4.663820108023035,3.3108556295918437
Cc1ccc(-c2c(C(=O)NCCc3nccs3)n[nH]c2C)cc1,LOA22-B1,0.10256410256410256,decoy,-5.392,-6.842,4.368137932803862,8.660057563319079
CCOC(=O)NC(=O)C(C)C1OCCc2[nH]c3ccccc3c21,LOA22-B1,0.12658227848101267,decoy,-5.603,-7.563,8.671189653098358,12.561352872998992
O=C1NC(=O)C(=Cc2ccc(C(=O)Nc3cccc(Cl)c3)cc2)N1,LOA22-B1,0.26153846153846155,decoy,-6.133,-7.272,4.724887935178992,3.106028171153637
CC1(C=Cc2ccc(N)cc2)C(=O)Nc2ccc(Cl)cc21,LOA22-B1,0.0684931506849315,decoy,-5.75,-7.239,12.650765470911237,3.2326880455744567
